Training Epoch --- Training Accuracy --- Validation Accuracy --- Validation Loss
1	0.506	0.526	15.587
2	0.512	0.539	11.494
3	0.520	0.542	8.621
4	0.523	0.528	6.894
5	0.525	0.535	5.904
6	0.526	0.531	5.338
7	0.527	0.536	4.987
8	0.528	0.537	4.756
9	0.528	0.540	4.594
10	0.530	0.540	4.475
11	0.532	0.543	4.381
12	0.532	0.543	4.301
13	0.533	0.544	4.228
14	0.535	0.542	4.160
15	0.536	0.542	4.097
16	0.537	0.542	4.036
17	0.538	0.542	3.976
18	0.539	0.543	3.919
19	0.541	0.545	3.862
20	0.542	0.545	3.807
21	0.542	0.549	3.754
22	0.543	0.551	3.702
23	0.544	0.551	3.650
24	0.545	0.551	3.601
25	0.547	0.554	3.551
26	0.548	0.555	3.503
27	0.550	0.556	3.455
28	0.551	0.556	3.408
29	0.552	0.556	3.363
30	0.554	0.555	3.318
31	0.556	0.555	3.273
32	0.557	0.557	3.229
33	0.559	0.559	3.186
34	0.561	0.561	3.143
35	0.562	0.559	3.100
36	0.563	0.561	3.059
37	0.564	0.563	3.018
38	0.566	0.561	2.979
39	0.567	0.563	2.941
40	0.568	0.564	2.903
41	0.570	0.564	2.865
42	0.571	0.562	2.829
43	0.573	0.564	2.793
44	0.574	0.565	2.757
45	0.574	0.566	2.723
46	0.574	0.567	2.688
47	0.576	0.571	2.655
48	0.576	0.572	2.621
49	0.577	0.575	2.589
50	0.577	0.576	2.556
51	0.577	0.578	2.525
52	0.578	0.582	2.493
53	0.579	0.582	2.463
54	0.581	0.579	2.433
55	0.584	0.579	2.404
56	0.586	0.583	2.375
57	0.586	0.584	2.347
58	0.587	0.585	2.319
59	0.588	0.587	2.292
60	0.589	0.590	2.265
61	0.590	0.590	2.238
62	0.591	0.593	2.212
63	0.593	0.594	2.187
64	0.593	0.597	2.162
65	0.595	0.599	2.137
66	0.595	0.600	2.112
67	0.596	0.599	2.088
68	0.598	0.602	2.065
69	0.599	0.603	2.042
70	0.600	0.603	2.020
71	0.601	0.602	1.997
72	0.602	0.603	1.976
73	0.602	0.604	1.955
74	0.603	0.613	1.934
75	0.604	0.613	1.913
76	0.606	0.614	1.893
77	0.607	0.615	1.872
78	0.608	0.614	1.853
79	0.610	0.613	1.833
80	0.611	0.615	1.814
81	0.612	0.615	1.796
82	0.613	0.625	1.777
83	0.614	0.625	1.760
84	0.615	0.626	1.742
85	0.616	0.627	1.726
86	0.618	0.630	1.709
87	0.619	0.633	1.692
88	0.619	0.634	1.676
89	0.621	0.634	1.660
90	0.622	0.635	1.644
91	0.622	0.636	1.628
92	0.623	0.636	1.613
93	0.624	0.632	1.598
94	0.625	0.636	1.583
95	0.626	0.636	1.569
96	0.627	0.637	1.555
97	0.629	0.638	1.541
98	0.631	0.643	1.528
99	0.632	0.647	1.515
100	0.632	0.648	1.502
101	0.634	0.650	1.490
102	0.635	0.647	1.478
103	0.636	0.647	1.466
104	0.636	0.649	1.454
105	0.638	0.649	1.443
106	0.639	0.651	1.432
107	0.639	0.654	1.421
108	0.640	0.655	1.411
109	0.641	0.654	1.400
110	0.642	0.654	1.390
111	0.643	0.656	1.380
112	0.644	0.655	1.371
113	0.645	0.658	1.361
114	0.646	0.658	1.352
115	0.647	0.659	1.343
116	0.648	0.660	1.334
117	0.649	0.661	1.325
118	0.650	0.662	1.317
119	0.651	0.663	1.309
120	0.651	0.664	1.300
121	0.652	0.664	1.292
122	0.653	0.665	1.284
123	0.654	0.665	1.276
124	0.655	0.666	1.269
125	0.655	0.668	1.261
126	0.656	0.667	1.254
127	0.657	0.667	1.246
128	0.657	0.667	1.239
129	0.659	0.668	1.232
130	0.659	0.669	1.226
131	0.661	0.670	1.219
132	0.661	0.671	1.212
133	0.662	0.673	1.206
134	0.662	0.673	1.200
135	0.664	0.672	1.194
136	0.664	0.673	1.188
137	0.665	0.673	1.182
138	0.666	0.675	1.176
139	0.666	0.675	1.170
140	0.667	0.675	1.165
141	0.668	0.676	1.159
142	0.668	0.676	1.154
143	0.669	0.677	1.148
144	0.670	0.679	1.143
145	0.671	0.680	1.138
146	0.672	0.680	1.132
147	0.673	0.681	1.127
148	0.674	0.677	1.122
149	0.675	0.678	1.117
150	0.675	0.679	1.113
151	0.675	0.678	1.108
152	0.676	0.678	1.103
153	0.677	0.679	1.099
154	0.677	0.677	1.094
155	0.678	0.677	1.090
156	0.679	0.678	1.085
157	0.679	0.678	1.081
158	0.679	0.678	1.077
159	0.680	0.678	1.073
160	0.681	0.678	1.069
161	0.681	0.678	1.064
